agent_id,experiment,n_runs,agent_honest_rate,agent_decision_mean,agent_decision_sd,abs_deviation_mean,agent_reason_money_rate,agent_reason_consistency_rate,agent_reason_rules_rate,agent_reason_fairness_rate,agent_reason_intuition_rate,reason_capture_rate,reason_false_positive_rate,reasoning_alignment_score,human_honest,human_report,roll
51,006,10,1,1,0,0,0.9,1,0.3,0,0,0.9,0.325,0.575,FALSE,5,1
52,006,10,1,4,0,0,0.7,1,0.3,0.2,0,0.3,0.475,-0.175,TRUE,4,4
54,006,10,1,4,0,0,0.9,0.9,0.5,0,0,0.4666666666666667,0.45,0.016666666666666663,FALSE,5,4
55,006,10,1,5,0,0,1,1,0.6,0,0,0.5,0.6,-0.09999999999999998,TRUE,5,5
56,006,10,0,3.6,1.8973665961010275,3.6,0.9,0.8,0.3,0,0,0.15,0.5666666666666667,-0.41666666666666663,TRUE,0,0
57,006,10,1,3,0,0,0.5,1,0,0.4,0,0.2,0.5,-0.3,TRUE,3,3
26,007,10,1,1,0,0,0.6,1,0.2,0.1,0,NA,0.38,NA,TRUE,1,1
27,007,10,1,2,0,0,0.4,1,0.1,0,0,0.1,0.35,-0.24999999999999997,TRUE,2,2
29,007,10,1,1,0,0,0,1,0.2,0.3,0,0.25,0.3333333333333333,-0.08333333333333331,TRUE,1,1
30,007,10,1,2,0,0,1,1,0.3,0,0,0,0.575,-0.575,TRUE,2,2
31,007,10,1,5,0,0,1,1,0.1,0.2,0,0.2,0.525,-0.325,TRUE,5,5
32,007,10,1,1,0,0,0.4,1,0.2,0.2,0,0,0.45,-0.45,FALSE,3,1
33,007,10,1,5,0,0,0.2,1,0,0.1,0,0.05,0.4,-0.35000000000000003,TRUE,5,5
35,007,10,1,1,0,0,0.6,1,0.4,0,0,0.3,0.4666666666666667,-0.16666666666666669,FALSE,5,1
36,007,10,1,3,0,0,0.4,1,0,0.6,0,0.5333333333333333,0.2,0.3333333333333333,TRUE,3,3
38,007,10,1,4,0,0,0.2,1,0.2,0.3,0,0.25,0.4,-0.15000000000000002,TRUE,4,4
40,007,10,1,2,0,0,1,1,0.4,0,0,0.5,0.4666666666666667,0.033333333333333326,FALSE,5,2
42,007,10,1,3,0,0,0.6,1,0.2,0.5,0,0.6,0.425,0.175,FALSE,5,3
43,007,10,1,4,0,0,0.4,1,0.1,0.3,0,0.2,0.4666666666666667,-0.26666666666666666,TRUE,4,4
44,007,10,1,2,0,0,0.7,1,0.2,0.1,0,0.1,0.6,-0.5,TRUE,2,2
45,007,10,1,4,0,0,0.4,1,0,0.6,0,0.5,0.3333333333333333,0.16666666666666669,TRUE,4,4
46,007,10,1,3,0,0,0.7,1,0.1,0.5,0,0.7,0.4,0.29999999999999993,FALSE,5,3
47,007,10,1,3,0,0,0.4,1,0.2,0.6,0,0.6,0.2,0.39999999999999997,TRUE,3,3
48,007,10,1,2,0,0,0.2,1,0,0.7,0,0,0.475,-0.475,TRUE,2,2
49,007,10,1,5,0,0,1,1,0.1,0.1,0,0.1,0.6666666666666666,-0.5666666666666667,TRUE,5,5
50,007,10,1,2,0,0,0.6,1,0.1,0.3,0,0.5666666666666667,0.15,0.41666666666666663,TRUE,2,2
51,007,10,1,1,0,0,0.1,0.9,0.1,0.9,0,0.1,0.47500000000000003,-0.375,FALSE,5,1
52,007,10,1,4,0,0,0.4,1,0.1,0.6,0,0.1,0.5,-0.4,TRUE,4,4
